MICHELIN_NM,FCLTY_NM,RDNMADR_NM,AREA_NM,CTPRVN_ENG_NM,SIGNGU_ENGL_NM,CTPRVN_JLANG_NM,SIGNGU_JLANG_NM,CTPRVN_SIMCH_CHNLNG_NM,SIGNGU_SIMCH_CHNLNG_NM,SIGNGU_TRACH_CHNLNG_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,FOOD_SPND_PRICE,BASE_DE
더플레이트미쉐린,랑빠스81,서울특별시 마포구 동교로 30길 17-1,서울,Seoul Metropolitan Government,Mapo-gu,ソウル特別市,麻浦?,首?特?市,麻浦?,麻浦區,11,11440,126.925157,37.56027,,02-7779-8181,프렌치,"39,000 - 61,000",2021-12-31
더플레이트미쉐린,진미식당,서울특별시 마포구 마포대로 186-6,서울,Seoul Metropolitan Government,Mapo-gu,ソウル特別市,麻浦?,首?特?市,麻浦?,麻浦區,11,11440,126.955796,37.550607,,02-3211-4468,게장,"41,000",2021-12-31
더플레이트미쉐린,마포양지설렁탕,서울특별시 마포구 새창로 6,서울,Seoul Metropolitan Government,Mapo-gu,ソウル特別市,麻浦?,首?特?市,麻浦?,麻浦區,11,11440,126.950483,37.54209,,02-716-8616,설렁탕,"10,000 - 50,000",2021-12-31
더플레이트미쉐린,서교고메,서울특별시 마포구 월드컵로 14길 19,서울,Seoul Metropolitan Government,Mapo-gu,ソウル特別市,麻浦?,首?特?市,麻浦?,麻浦區,11,11440,126.911476,37.556189,,02-332-3626,한식,"8,000 - 54,000?",2021-12-31
더플레이트미쉐린,이치류,서울특별시 마포구 잔다리로 3안길 44,서울,Seoul Metropolitan Government,Mapo-gu,ソウル特別市,麻浦?,首?特?市,麻浦?,麻浦區,11,11440,126.919161,37.550656,,02-3144-1312,바비큐,"24,000 - 28,000",2021-12-31
빕구르망,마포옥,"서울특별시 마포구 토정로 312, 2층",서울,Seoul Metropolitan Government,Mapo-gu,ソウル特別市,麻浦?,首?特?市,麻浦?,麻浦區,11,11440,126.94334,37.539882,www.mapook.com,02-716-6661,설렁탕,"14,000 - 55,000",2021-12-31
빕구르망,역전회관,서울특별시 마포구 토정로 37길 47,서울,Seoul Metropolitan Government,Mapo-gu,ソウル特別市,麻浦?,首?特?市,麻浦?,麻浦區,11,11440,126.947008,37.542942,www.yukjeon.com,02-703-0019,불고기,"9,000 - 45,000",2021-12-31
더플레이트미쉐린,카덴,"서울특별시 서대문구 연희로 173, 2층",서울,Seoul Metropolitan Government,Seodaemun-gu,ソウル特別市,西大門?,首?特?市,?大??,西大門區,11,11440,126.935056,37.572506,www.caden.co.kr,02-3142-6362,일식,"20,000 - 95,000?",2021-12-31
빕구르망,임병주산동칼국수,서울특별시 서초구 강남대로 37길 63,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.030008,37.48458,,02-3473-7972,칼국수,"9,000 - 39,000",2021-12-31
빕구르망,백년옥,서울특별시 서초구 남부순환로 2407,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.013782,37.481202,,02-523-2860,두부,"10,000 - 43,000",2021-12-31
빕구르망,양양메밀막국수,서울특별시 서초구 동광로 15길 10,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,126.988279,37.49252,,02-3482-3738,메밀국수,"8,000 - 25,000",2021-12-31
더플레이트미쉐린,줄라이,서울특별시 서초구 동광로 164,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,126.999966,37.494719,www.julyrestaurant.com,02-534-9544,프렌치컨템퍼러리,"59,000 - 110,000",2021-12-31
더플레이트미쉐린,스시만,서울특별시 서초구 동광로 27길 3,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,126.994793,37.49417,,02-533-0181,스시,"50,000 - 160,000",2021-12-31
더플레이트미쉐린,라모라,"서울특별시 서초구 동광로 39길 50, 2층",서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,126.999695,37.497222,,02-595-3997,이탤리언,"70,000 - 200,000",2021-12-31
더플레이트미쉐린,플라워차일드,서울특별시 서초구 동광로 95,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,126.992673,37.493738,www.flowerchildkorea.com,02-553-2574,창작,"45,000 - 95,000",2021-12-31
더플레이트미쉐린,도우룸,"서울특별시 서초구 동광로 99, 2층",서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,126.99335,37.493843,www.soignerestaurantgroup.com,02-535-9386,이탤리언컨템퍼러리,"49,000 - 86,000",2021-12-31
더플레이트미쉐린,태번38,서울특별시 서초구 명달로 22길 12-12,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.004727,37.486172,,02-522-3738,프렌치,"38,000 - 150,000",2021-12-31
1스타 미쉐린,스와니예,"서울특별시 서초구 반포대로 39길 46, 지하 1층",서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.002012,37.498142,www.soignerestaurantgroup.com,02-3477-9386,창작,"78,000 - 158,000",2021-12-31
1스타 미쉐린,오프레,서울특별시 서초구 반포대로 4길 12,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.013377,37.481839,,02-5025-3837,프렌치컨템퍼러리,"60,000 - 138,000",2021-12-31
빕구르망,봉산옥,서울특별시 서초구 반포대로 8길 5-6,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.012464,37.48339,,02-525-2282,만두,"8,000 - 45,000",2021-12-31
1스타 미쉐린,테이블포포,"서울특별시 서초구 사평대로 14길 11, 2층",서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,126.99444,37.497745,,02-3478-0717,유러피안컨템퍼러리,"55,000 - 110,000?",2021-12-31
